time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
8,0.0005,0.0179,0.0050,-0.90,-0.59,-36.71,0.011,0.003,0.352,0.001,0.7595,1.0940
9,-0.0004,0.0149,0.0053,-0.87,-0.59,-36.68,0.011,0.117,0.221,0.329,0.7594,1.0939
9,0.0007,0.0192,0.0051,-0.90,-0.58,-36.64,0.011,-0.084,0.299,0.045,0.7589,1.0952
9,-0.0162,-0.0068,0.0070,-0.65,-0.59,-36.60,0.011,0.085,-0.024,0.204,0.7590,1.0937
9,-0.0162,-0.0071,0.0070,-0.65,-0.60,-36.57,0.008,-0.238,0.031,0.027,0.7582,1.0943
9,-0.0182,-0.0004,0.0071,-0.69,-0.55,-36.53,0.008,-0.299,0.105,0.148,0.7585,1.0935
9,-0.0168,-0.0084,0.0071,-0.65,-0.60,-36.49,0.008,-0.161,0.148,-0.236,0.7591,1.0934
9,-0.0198,-0.0052,0.0005,-0.65,-0.56,-36.46,0.008,0.022,0.399,0.239,0.7592,1.0951
9,-0.0172,-0.0091,0.0007,-0.64,-0.60,-36.42,0.008,0.024,0.412,-0.012,0.7602,1.0946
9,-0.0135,-0.0091,0.0010,-0.66,-0.62,-36.38,0.008,-0.137,0.166,0.240,0.7598,1.0943
9,-0.0122,-0.0001,0.0012,-0.73,-0.59,-36.35,0.009,-0.049,0.500,0.148,0.7567,1.0902
9,-0.0062,-0.0027,0.0013,-0.74,-0.64,-36.31,0.009,0.081,0.045,-0.070,0.7566,1.0914
9,-0.0081,-0.0038,0.0015,-0.72,-0.64,-36.28,0.009,0.055,0.127,-0.002,0.7578,1.0905
9,-0.0234,-0.0254,-0.0008,-0.51,-0.64,-36.24,0.009,-0.023,0.098,-0.296,0.7589,1.0939
9,-0.0233,-0.0179,-0.0002,-0.57,-0.61,-36.20,0.008,-0.006,0.324,0.014,0.7595,1.0940
