t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
0.0112,-0.003617,-0.191683,0.974892,-0.006350,0.017810,-0.006219,-0.125100,0.377604,-0.141976,2.950448,-5.198459,-1.327047,-0.000119,-0.005281,0.994123,0.006764,-0.087268,-0.509721,0.000000,0.000000,0.000000,-4.426353,-4.035249,-4.487998,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,36936.000000,39238.000000,39365.000000,39425.000000,-0.046807,-0.025123,-0.002770,0.053195
0.0131,-0.003617,-0.191683,0.974892,-0.006350,0.017810,-0.006219,-0.125100,0.377604,-0.141976,2.516823,-4.283371,-1.632538,-0.002263,-0.002386,0.996459,0.000854,-0.078172,-0.529283,0.000000,0.000000,0.000000,-2.233892,5.797021,-5.393881,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,36879.000000,39267.000000,39279.000000,39538.000000,-0.046801,-0.025009,-0.002767,0.053136
0.0151,-0.003300,-0.191846,0.974948,-0.005175,0.017205,-0.005974,-0.120994,0.369579,-0.142037,2.605569,-3.208612,-1.316130,-0.003366,-0.002342,0.999348,-0.006214,-0.054316,-0.561485,0.000000,0.000000,0.000000,-0.544205,10.792993,1.914976,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37021.000000,39140.000000,39278.000000,39494.000000,-0.046113,-0.023572,-0.002736,0.051861
0.0171,-0.003355,-0.191673,0.974886,-0.005804,0.017414,-0.006341,-0.090721,0.414103,-0.152452,2.457318,-1.864622,-0.176679,-0.002483,-0.003866,1.000852,-0.017379,-0.033028,-0.559780,0.000000,0.000000,0.000000,-1.350500,10.597251,8.430043,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37319.000000,38870.000000,39516.000000,39290.000000,-0.046137,-0.024373,-0.002899,0.052260
0.0190,-0.003355,-0.191673,0.974886,-0.005804,0.017414,-0.006341,-0.090721,0.414103,-0.152452,3.324686,-2.330387,0.921066,-0.002079,-0.005143,0.998329,-0.024261,-0.027397,-0.521013,0.000000,0.000000,0.000000,6.270885,1.770105,10.436140,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37601.000000,38650.000000,39756.000000,38995.000000,-0.046065,-0.024240,-0.002895,0.052134
0.0213,-0.003355,-0.191673,0.974886,-0.005804,0.017414,-0.006341,-0.090721,0.414103,-0.152452,3.316043,-2.637088,1.551201,-0.002335,-0.005151,1.000522,-0.022738,-0.035903,-0.501569,0.000000,0.000000,0.000000,1.757935,-5.994778,7.248267,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37745.000000,38510.000000,39908.000000,38838.000000,-0.046014,-0.024176,-0.002893,0.052059
0.0230,-0.003172,-0.191841,0.974945,-0.005126,0.016788,-0.006081,-0.090721,0.414103,-0.152452,3.988082,-3.461967,0.932173,-0.004688,-0.003822,1.008070,-0.020647,-0.045669,-0.507414,0.000000,0.000000,0.000000,4.019621,-5.066514,-3.109593,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37606.000000,38691.000000,39743.000000,38929.000000,-0.045364,-0.023471,-0.002874,0.051157
0.0250,-0.003172,-0.191841,0.974945,-0.005126,0.016788,-0.006081,-0.090721,0.414103,-0.152452,5.428572,-3.248772,0.013165,-0.004238,-0.002922,1.009470,-0.025974,-0.047100,-0.481164,0.000000,0.000000,0.000000,9.918444,-1.061402,-8.232517,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37439.000000,38945.000000,39481.000000,39108.000000,-0.045286,-0.023411,-0.002873,0.051060
0.0270,-0.003227,-0.191672,0.974886,-0.005837,0.016946,-0.005786,-0.055503,0.440997,-0.146370,7.011054,-4.226802,-0.637148,-0.003036,-0.001845,1.011265,-0.035112,-0.039743,-0.436833,0.000000,0.000000,0.000000,16.492455,-4.822411,-7.083290,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37303.000000,39172.000000,39330.000000,39160.000000,-0.045205,-0.024002,-0.002754,0.051256
0.0289,-0.003227,-0.191672,0.974886,-0.005837,0.016946,-0.005786,-0.055503,0.440997,-0.146370,7.216512,-4.397649,-0.972597,0.000486,-0.003043,1.011566,-0.034860,-0.029600,-0.421570,0.000000,0.000000,0.000000,3.880933,-4.388734,-2.617436,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37225.000000,39263.000000,39251.000000,39227.000000,-0.045118,-0.023981,-0.002753,0.051169
