run_id,rms_total,rms_roll,rms_pitch,rms_yaw,q_pos,q_vel,q_att,r_height,r_flow,plot
202,2.81,3.3716,2.6261,2.3292,1e-05,0.0001,1e-05,0.001,2.0,run_0202.png
203,2.3408,3.0757,2.3198,1.2639,1e-05,0.0001,1e-05,0.001,8.0,run_0203.png
204,3.3291,3.9741,3.0702,2.8334,1e-05,0.0001,1e-05,0.01,0.5,run_0204.png
205,2.8209,3.407,2.6409,2.3001,1e-05,0.0001,1e-05,0.01,2.0,run_0205.png
206,2.3308,3.0636,2.3128,1.25,1e-05,0.0001,1e-05,0.01,8.0,run_0206.png
207,6.2246,6.2216,5.6303,6.7696,1e-05,0.0001,0.0001,0.0001,0.5,run_0207.png
208,4.9148,5.2435,4.6033,4.8765,1e-05,0.0001,0.0001,0.0001,2.0,run_0208.png
209,5.0767,4.6993,4.0042,6.2612,1e-05,0.0001,0.0001,0.0001,8.0,run_0209.png
210,6.2645,6.2851,5.6703,6.7881,1e-05,0.0001,0.0001,0.001,0.5,run_0210.png
211,4.8988,5.2534,4.6093,4.8116,1e-05,0.0001,0.0001,0.001,2.0,run_0211.png
212,5.0388,4.6755,3.9838,6.1998,1e-05,0.0001,0.0001,0.001,8.0,run_0212.png
213,6.5391,6.7654,5.9425,6.8699,1e-05,0.0001,0.0001,0.01,0.5,run_0213.png
214,4.929,5.364,4.6652,4.7275,1e-05,0.0001,0.0001,0.01,2.0,run_0214.png
215,5.0252,4.69,3.9735,6.1621,1e-05,0.0001,0.0001,0.01,8.0,run_0215.png
216,1.4528,1.6481,0.9635,1.6395,1e-05,0.001,1e-06,0.0001,0.5,run_0216.png
217,1.4301,1.4554,1.0482,1.7085,1e-05,0.001,1e-06,0.0001,2.0,run_0217.png
218,1.4094,1.4009,1.0582,1.6961,1e-05,0.001,1e-06,0.0001,8.0,run_0218.png
219,1.4577,1.6569,0.9676,1.6409,1e-05,0.001,1e-06,0.001,0.5,run_0219.png
220,1.4286,1.4535,1.0455,1.7078,1e-05,0.001,1e-06,0.001,2.0,run_0220.png
221,1.4071,1.3973,1.0565,1.6945,1e-05,0.001,1e-06,0.001,8.0,run_0221.png
222,1.484,1.6997,1.0058,1.6451,1e-05,0.001,1e-06,0.01,0.5,run_0222.png
223,1.4323,1.4634,1.0477,1.7073,1e-05,0.001,1e-06,0.01,2.0,run_0223.png
224,1.4071,1.3986,1.0565,1.6935,1e-05,0.001,1e-06,0.01,8.0,run_0224.png
225,1.7305,2.0725,1.5014,1.5603,1e-05,0.001,1e-05,0.0001,0.5,run_0225.png
226,1.6216,1.8451,1.4332,1.559,1e-05,0.001,1e-05,0.0001,2.0,run_0226.png
227,1.5647,1.7642,1.3891,1.5176,1e-05,0.001,1e-05,0.0001,8.0,run_0227.png
228,1.7472,2.1037,1.5114,1.5644,1e-05,0.001,1e-05,0.001,0.5,run_0228.png
229,1.6212,1.8463,1.4291,1.56,1e-05,0.001,1e-05,0.001,2.0,run_0229.png
230,1.5614,1.7599,1.3848,1.5163,1e-05,0.001,1e-05,0.001,8.0,run_0230.png
231,1.8812,2.3384,1.6329,1.5754,1e-05,0.001,1e-05,0.01,0.5,run_0231.png
232,1.6409,1.8893,1.4414,1.5591,1e-05,0.001,1e-05,0.01,2.0,run_0232.png
233,1.5621,1.7637,1.3826,1.5161,1e-05,0.001,1e-05,0.01,8.0,run_0233.png
234,4.6009,4.472,3.9169,5.3069,1e-05,0.001,0.0001,0.0001,0.5,run_0234.png
235,3.2731,3.7656,3.1602,2.8237,1e-05,0.001,0.0001,0.0001,2.0,run_0235.png
236,2.8999,3.4679,2.8107,2.3024,1e-05,0.001,0.0001,0.0001,8.0,run_0236.png
237,4.6259,4.5483,3.9554,5.2788,1e-05,0.001,0.0001,0.001,0.5,run_0237.png
238,3.2883,3.7686,3.1611,2.8712,1e-05,0.001,0.0001,0.001,2.0,run_0238.png
239,2.8944,3.4543,2.8013,2.3138,1e-05,0.001,0.0001,0.001,8.0,run_0239.png
240,4.8032,5.1354,4.2624,4.967,1e-05,0.001,0.0001,0.01,0.5,run_0240.png
241,3.3482,3.8784,3.2114,2.8769,1e-05,0.001,0.0001,0.01,2.0,run_0241.png
242,2.903,3.4591,2.7997,2.3406,1e-05,0.001,0.0001,0.01,8.0,run_0242.png
