cf5_A8_12-11-46.a_hat_x,cf5_A8_12-11-46.a_hat_y,cf5_A8_12-11-46.a_hat_z,cf5_A8_12-11-46.a_res_x,cf5_A8_12-11-46.a_res_y,cf5_A8_12-11-46.a_res_z,cf5_A8_12-11-46.e_r_x,cf5_A8_12-11-46.e_r_y,cf5_A8_12-11-46.e_r_z,cf5_A8_12-11-46.pos_des_x,cf5_A8_12-11-46.pos_des_y,cf5_A8_12-11-46.pos_des_z,cf5_A8_12-11-46.pos_x,cf5_A8_12-11-46.pos_y,cf5_A8_12-11-46.pos_z,cf5_A8_12-11-46.t,cf_second_A8_12-11-46.a_hat_x,cf_second_A8_12-11-46.a_hat_y,cf_second_A8_12-11-46.a_hat_z,cf_second_A8_12-11-46.a_res_x,cf_second_A8_12-11-46.a_res_y,cf_second_A8_12-11-46.a_res_z,cf_second_A8_12-11-46.e_r_x,cf_second_A8_12-11-46.e_r_y,cf_second_A8_12-11-46.e_r_z,cf_second_A8_12-11-46.pos_des_x,cf_second_A8_12-11-46.pos_des_y,cf_second_A8_12-11-46.pos_des_z,cf_second_A8_12-11-46.pos_x,cf_second_A8_12-11-46.pos_y,cf_second_A8_12-11-46.pos_z,cf_second_A8_12-11-46.t
0.000000,0.000000,0.000000,-0.208384,-0.480823,-0.270547,0.035205,0.021457,-0.022098,-0.000000,0.576499,1.000000,-0.026578,0.572582,0.958379,5.772000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.012933,1.250000,-0.005353,0.058934,1.116881,5.772000
0.000000,0.000000,0.000000,-0.202410,-0.474421,-0.275165,0.031894,0.017908,-0.021492,-0.000000,0.576499,1.000000,-0.025574,0.575584,0.958812,5.774000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.012933,1.250000,-0.005353,0.058934,1.116881,5.774000
0.000000,0.000000,0.000000,-0.196445,-0.460470,-0.289890,0.035468,0.017600,-0.021576,-0.000000,0.576499,1.000000,-0.025574,0.575584,0.958812,5.776000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.012933,1.250000,-0.005353,0.058934,1.116881,5.776000
0.000000,0.000000,0.000000,-0.192790,-0.447060,-0.290518,0.039354,0.017015,-0.021661,-0.000000,0.576499,1.000000,-0.025670,0.575451,0.958855,5.778000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.010799,1.250000,-0.005353,0.058934,1.116881,5.778000
0.000000,0.000000,0.000000,-0.191814,-0.442891,-0.255552,0.047543,0.016461,-0.021848,-0.000000,0.577805,1.000000,-0.025791,0.575284,0.958909,5.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.010142,1.250000,-0.004923,0.056625,1.116889,5.780000
0.000000,0.000000,0.000000,-0.192374,-0.443196,-0.217202,0.050003,0.014185,-0.021520,-0.000000,0.579357,1.000000,-0.025008,0.577546,0.959235,5.782000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.010142,1.250000,-0.004799,0.055958,1.116891,5.782000
0.000000,0.000000,0.000000,-0.194062,-0.441695,-0.201212,0.046355,0.011378,-0.020987,-0.000000,0.579357,1.000000,-0.024086,0.580211,0.959619,5.784000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.010142,1.250000,-0.004799,0.055958,1.116891,5.784000
0.000000,0.000000,0.000000,-0.196057,-0.438065,-0.207389,0.050468,0.010203,-0.021089,-0.000000,0.579357,1.000000,-0.024310,0.580159,0.959465,5.786000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.010142,1.250000,-0.004799,0.055958,1.116891,5.786000
0.000000,0.000000,0.000000,-0.198482,-0.435285,-0.220374,0.054275,0.008912,-0.021176,-0.000000,0.579357,1.000000,-0.024554,0.580103,0.959298,5.788000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.007928,1.250000,-0.004799,0.055958,1.116891,5.788000
0.000000,0.000000,0.000000,-0.201307,-0.431991,-0.235269,0.061671,0.008587,-0.021395,-0.000000,0.580597,1.000000,-0.024554,0.580103,0.959298,5.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.007371,1.250000,-0.004576,0.053490,1.116905,5.790000
