t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.067000,0.000015,0.000006,1.000002,0.001112,0.000433,0.000111,0.063762,0.024848,0.006376,2.661887,1.041121,0.266189,0.000003,0.000250,0.014351,0.265049,-0.000436,0.001106,0.000086,-1.040395,2.660114,0.006983,-26.319141,66.755196,2.950896
0.068000,0.000016,0.000006,1.000002,0.001177,0.000458,0.000118,0.066458,0.025902,0.006646,2.730475,1.068186,0.273048,0.000004,0.000265,0.014959,0.265056,-0.000439,0.001114,0.000091,-1.067407,2.728578,0.007464,-26.508768,67.212387,3.104814
0.069000,0.000018,0.000007,1.000002,0.001245,0.000484,0.000125,0.069223,0.026984,0.006922,2.799600,1.095474,0.279960,0.000004,0.000280,0.015584,0.265065,-0.000442,0.001121,0.000096,-1.094639,2.797572,0.007969,-26.692333,67.653954,3.263884
0.070000,0.000019,0.000007,1.000002,0.001316,0.000512,0.000132,0.072058,0.028093,0.007206,2.869249,1.122981,0.286925,0.000004,0.000296,0.016224,0.265073,-0.000445,0.001128,0.000100,-1.122087,2.867083,0.008500,-26.869831,68.079903,3.428167
0.071000,0.000020,0.000008,1.000002,0.001389,0.000541,0.000139,0.074962,0.029230,0.007496,2.939411,1.150701,0.293941,0.000005,0.000312,0.016880,0.265081,-0.000448,0.001135,0.000105,-1.149746,2.937100,0.009057,-27.041250,68.490265,3.597725
0.072000,0.000022,0.000008,1.000002,0.001466,0.000570,0.000147,0.077937,0.030395,0.007794,3.010073,1.178632,0.301007,0.000005,0.000330,0.017552,0.265090,-0.000450,0.001142,0.000110,-1.177611,3.007610,0.009640,-27.206577,68.885017,3.772615
0.073000,0.000023,0.000009,1.000002,0.001545,0.000601,0.000155,0.080982,0.031587,0.008098,3.081223,1.206767,0.308122,0.000005,0.000347,0.018240,0.265099,-0.000453,0.001148,0.000116,-1.205678,3.078599,0.010252,-27.365788,69.264137,3.952890
0.074000,0.000025,0.000010,1.000003,0.001628,0.000634,0.000163,0.084099,0.032808,0.008410,3.152849,1.235102,0.315285,0.000006,0.000366,0.018944,0.265108,-0.000456,0.001154,0.000121,-1.233941,3.150058,0.010891,-27.518869,69.627655,4.138604
0.075000,0.000026,0.000010,1.000003,0.001714,0.000667,0.000171,0.087288,0.034058,0.008729,3.224940,1.263634,0.322494,0.000006,0.000385,0.019665,0.265118,-0.000458,0.001160,0.000127,-1.262397,3.221972,0.011561,-27.665806,69.975525,4.329807
0.076000,0.000028,0.000011,1.000003,0.001802,0.000702,0.000180,0.090549,0.035336,0.009055,3.297482,1.292358,0.329748,0.000006,0.000405,0.020402,0.265128,-0.000460,0.001165,0.000132,-1.291041,3.294331,0.012260,-27.806585,70.307762,4.526549
